song_name,original_popularity,has_audio_file,has_lyrics_file,audio_file_path,audio_original_name,audio_popularity_level,lyrics_file_path,lyrics_original_name,lyrics_popularity_level,final_popularity
Boulevard of Broken Dreams,73,True,True,/app/songs/popularity_8/Boulevard of Broken Dreams.mp3,Boulevard of Broken Dreams - ,8.0,/app/lyrics/popularity_8/Boulevard of Broken Dreams.txt,Boulevard of Broken Dreams,8.0,80
In The End,66,True,True,/app/songs/popularity_7/In The End.mp3,In The End - ,7.0,/app/lyrics/popularity_7/In The End.txt,In The End,7.0,70
Seven Nation Army,76,True,True,/app/songs/popularity_8/Seven Nation Army.mp3,Seven Nation Army - ,8.0,/app/lyrics/popularity_8/Seven Nation Army.txt,Seven Nation Army,8.0,80
By The Way,74,True,True,/app/songs/popularity_8/By The Way.mp3,By The Way - ,8.0,/app/lyrics/popularity_8/By The Way.txt,By The Way,8.0,80
How You Remind Me,56,True,True,/app/songs/popularity_6/How You Remind Me.mp3,How You Remind Me - ,6.0,/app/lyrics/popularity_6/How You Remind Me.txt,How You Remind Me,6.0,60
Bring Me To Life,80,True,True,/app/songs/popularity_8/Bring Me To Life.mp3,Bring Me To Life - ,8.0,/app/lyrics/popularity_8/Bring Me To Life.txt,Bring Me To Life,8.0,80
Last Resort,81,True,True,/app/songs/popularity_9/Last Resort.mp3,Last Resort - ,9.0,/app/lyrics/popularity_9/Last Resort.txt,Last Resort,9.0,90
Are You Gonna Be My Girl,76,True,True,/app/songs/popularity_8/Are You Gonna Be My Girl.mp3,Are You Gonna Be My Girl - ,8.0,/app/lyrics/popularity_8/Are You Gonna Be My Girl.txt,Are You Gonna Be My Girl,8.0,80
Mr. Brightside,80,True,True,/app/songs/popularity_2/Mr. Brightside.mp3,Mr. Brightside - ,2.0,/app/lyrics/popularity_2/Mr. Brightside.txt,Mr. Brightside,2.0,20
Sex on Fire,81,True,True,/app/songs/popularity_9/Sex on Fire.mp3,Sex on Fire - ,9.0,/app/lyrics/popularity_9/Sex on Fire.txt,Sex on Fire,9.0,90
Numb,83,True,True,/app/songs/popularity_9/Numb.mp3,Numb - ,9.0,/app/lyrics/popularity_9/Numb.txt,Numb,9.0,90
