song_name,song_popularity,song_duration_ms,artist_name
Boulevard of Broken Dreams,73,262333,Unknown Artist (Placeholder)
In The End,66,216933,Unknown Artist (Placeholder)
Seven Nation Army,76,231733,Unknown Artist (Placeholder)
By The Way,74,216933,Unknown Artist (Placeholder)
How You Remind Me,56,223826,Unknown Artist (Placeholder)
Bring Me To Life,80,235893,Unknown Artist (Placeholder)
Last Resort,81,199893,Unknown Artist (Placeholder)
Are You Gonna Be My Girl,76,213800,Unknown Artist (Placeholder)
Mr. Brightside,80,222586,Unknown Artist (Placeholder)
Sex on Fire,81,203346,Unknown Artist (Placeholder)
The Middle,78,168253,Unknown Artist (Placeholder)
Numb,83,185586,Unknown Artist (Placeholder)
Smooth Criminal,75,209266,Unknown Artist (Placeholder)
Can't Stop,81,269000,Unknown Artist (Placeholder)
Chop Suey!,69,210240,Unknown Artist (Placeholder)
Take Me Out,77,237026,Unknown Artist (Placeholder)
I Miss You,71,227240,Unknown Artist (Placeholder)
Best of You,62,256600,Unknown Artist (Placeholder)
I Write Sins Not Tragedies,77,187613,Unknown Artist (Placeholder)
Kryptonite,79,233933,Unknown Artist (Placeholder)
The Kill (Bury Me),69,231533,Unknown Artist (Placeholder)
Use Somebody,79,230760,Unknown Artist (Placeholder)
No One Knows,13,255066,Unknown Artist (Placeholder)
Jerk It Out,70,195666,Unknown Artist (Placeholder)
Uprising,77,304840,Unknown Artist (Placeholder)
Hey There Delilah,79,232533,Unknown Artist (Placeholder)
Blurry,28,303920,Unknown Artist (Placeholder)
American Idiot,78,176346,Unknown Artist (Placeholder)
Welcome to the Black Parade,77,311106,Unknown Artist (Placeholder)
Gives You Hell,71,213106,Unknown Artist (Placeholder)
All My Life,11,262733,Unknown Artist (Placeholder)
Like a Stone,77,293960,Unknown Artist (Placeholder)
It's Been Awhile,65,264706,Unknown Artist (Placeholder)
I Hate Everything About You,75,231480,Unknown Artist (Placeholder)
Rollin' (Air Raid Vehicle),74,213760,Unknown Artist (Placeholder)
Fat Lip,74,178266,Unknown Artist (Placeholder)
The Pretender,78,269373,Unknown Artist (Placeholder)
Savior,73,242280,Unknown Artist (Placeholder)
Bodies,74,201960,Unknown Artist (Placeholder)
